MachineID,Age,Temperature,Pressure,Vibration,Humidity,FailureType,RUL
8,1356,61.11408769,77.50986667,55.300373,48.69508993,Without Failure,1485
10,1546,73.27573438,94.97200655,48.44307682,27.35036453,Without Failure,1031
8,1773,67.55122756,103.0841104,50.00401503,37.49012163,Without Failure,765
4,789,85.76853199,112.302117,53.31753823,28.96618627,Without Failure,1883
8,752,62.67617997,88.8001804,48.08286201,44.5377721,Without Failure,1379
9,1494,67.17936719,88.41830499,54.52915705,37.89893331,Without Failure,851
7,703,61.62868049,131.8503443,47.75278678,33.34809576,Without Failure,553
2,1547,50.91901218,99.63854572,54.98112936,50.371011,Without Failure,798
9,52,80.09089331,114.3049071,46.58922239,28.09274257,Without Failure,1473
8,566,75.32301401,81.01556781,61.71547873,60.76700864,Sensor Failure,26
5,820,77.19083315,104.8273798,49.72794689,46.00348162,Without Failure,1831
3,1044,83.10486248,111.0741539,53.22105121,49.86150209,Without Failure,762
7,1042,76.08101263,100.8668038,56.4745177,52.84333584,Sensor Failure,56
2,1988,70.55986405,73.89147967,49.63250389,48.7289444,Without Failure,1736
3,1879,77.59636165,86.38193922,51.73664406,22.19535579,Without Failure,1599
9,861,69.93511825,105.511164,50.63608684,23.72229147,Mechanical Wear,10
4,1479,86.12351077,76.02782729,60.78570295,29.98581269,Without Failure,1816
4,321,71.37922657,137.9940956,58.57242512,35.61567346,Without Failure,1117
3,826,73.80764583,117.095966,46.69383082,53.58972509,Without Failure,672
5,432,81.36571078,77.39426625,45.01121792,25.81285898,Power Failure,96
3,1082,98.36114144,103.9377233,52.88711274,30.12462612,Without Failure,814
9,1174,64.77816919,101.1376804,50.8235957,34.01007441,Without Failure,630
3,1794,62.81642845,116.3342795,58.23635724,40.95535187,Without Failure,1435
2,1463,72.54996995,62.54590719,52.24131429,45.33263928,Without Failure,1527
5,1907,67.51770659,102.5461665,50.25295519,29.922714,Without Failure,1773
6,57,81.99963066,81.96829421,45.46059873,55.85338473,Without Failure,587
1,1017,76.97441976,106.5824262,47.75137158,45.28231967,Without Failure,799
6,1751,63.80547781,83.68510211,46.68956042,42.51504025,Without Failure,754
10,1597,82.4946054,120.5370917,48.30759115,41.48543065,Without Failure,1817
3,1681,93.47669102,104.6371303,48.30957952,25.11501257,Without Failure,1100
4,1980,67.00970276,72.96627017,48.23378119,38.80094318,Without Failure,1811
6,1917,78.25265204,61.72346456,50.24100264,40.78123103,Overheating,67
8,750,53.05328321,107.4745588,52.96156257,48.12738137,Without Failure,504
9,1316,71.31892335,89.5768255,55.03464054,47.75556874,Without Failure,1759
6,181,78.0966306,108.6053737,54.01239567,54.5315918,Without Failure,1923
7,1904,73.58641823,90.1033917,42.96572187,42.69354098,Without Failure,1391
5,606,76.1258726,118.0526773,43.93852795,27.86547633,Overheating,73
9,1101,67.21951367,115.1385492,48.30405169,51.77063519,Mechanical Wear,51
4,960,87.60017739,106.4795263,44.48760231,56.81184854,Without Failure,783
10,1677,70.89343297,86.51149876,52.23331696,45.99115324,Sensor Failure,42
6,104,62.70539215,91.20857019,49.91380007,56.58410036,Without Failure,1797
5,1284,74.61197162,96.11460304,50.66289887,42.78582175,Without Failure,1587
1,606,84.22905209,84.25380916,56.48973674,35.72914106,Without Failure,772
5,1246,80.5447626,109.9213415,48.33207577,34.67418553,Mechanical Wear,33
